1462	345
1514	551
1696	215
1931	114
378	57
1347	115
85	12
1230	212
285	8
148	449
2248	479
77	34
1724	127
1847	184
1852	321
1460	251
2202	141
954	165
1388	539
562	155
2238	207
2228	98
1574	373
651	476
25	317
1232	252
1294	407
1269	469
1086	365
1828	422
994	244
279	172
523	259
1337	272
572	233
27	267
595	493
552	261
955	176
1248	308
401	277
398	356
1749	308
1481	40
1984	212
801	30
477	366
1738	28
459	538
1241	0
894	211
1060	130
759	37
1555	137
760	388
1319	378
1024	144
1064	180
816	505
1423	102
1322	181
51	190
1293	193
2117	534
2150	360
803	550
191	347
808	40
1864	422
410	223
1365	202
850	221
1300	68
691	528
1801	63
1450	200
797	87
878	410
401	86
2094	192
794	348
869	228
1415	263
2150	19
1916	131
73	177
1291	278
2206	89
1972	349
896	185
1029	505
737	501
1919	183
1579	29
1691	431
234	98
1020	376
1810	481
1462	380
2153	517
1496	317
282	246
100	133
714	19
1002	362
1402	496
2071	159
476	253
1865	530
86	296
283	221
1732	49
578	30
983	263
1067	377
779	172
315	44
136	37
1604	44
99	438
1202	460
171	419
890	270
1853	373
761	467
1395	279
972	461
1057	446
1106	268
626	388
898	241
1996	347
603	90
387	284
1329	194
607	197
453	43
1416	372
1465	233
1336	514
1045	46
2016	406
297	530
2020	422
483	118
1597	394
1393	538
2160	133
1404	380
689	157
1758	43
55	88
1699	289
2122	307
713	18
155	299
40	332
165	140
250	12
820	458
1329	7
357	509
1456	241
994	282
1879	394
780	88
605	515
151	271
726	346
397	408
1496	198
429	254
232	219
1310	443
251	516
1335	455
721	89
819	295
1796	132
1917	403
1924	466
2025	230
761	465
876	152
650	503
89	384
1527	172
1648	474
999	77
656	291
997	359
1433	312
1575	244
2258	389
2127	183
900	429
1515	428
1819	299
1587	220
338	8
2174	323
1337	7
0	521
955	24
1354	452
1312	251
332	398
1624	255
2075	375
1507	407
176	378
2004	450
831	33
2290	455
2264	348
2167	412
750	325
223	325
1569	260
1724	216
1287	347
1105	129
2099	476
2166	534
1161	416
221	243
479	345
1904	65
426	270
1387	496
1879	320
784	357
2032	47
1105	453
2028	155
2234	24
827	448
1659	170
1284	398
1767	180
1750	386
21	321
1477	18
1347	477
560	138
2110	533
865	108
127	294
1640	297
1580	520
1804	498
992	447
735	184
2058	296
1600	214
634	73
533	540
1564	36
1383	317
2263	508
1759	52
2070	522
486	305
1432	401
168	158
962	306
176	473
1763	406
1410	383
106	505
1113	148
844	83
1622	455
576	56
2004	67
724	27
479	259
594	372
382	288
1047	506
762	492
1768	221
542	338
1132	164
2063	388
11	355
2300	38
1478	319
1140	484
502	511
798	137
1425	147
619	328
1956	233
1146	429
1277	296
319	52
558	267
1802	2
1164	241
1507	423
954	458
481	247
758	102
1191	314
357	253
127	428
701	551
1128	193
474	305
574	208
1721	35
1073	389
1075	272
752	539
2168	310
1135	310
674	529
985	261
326	52
1343	82
1883	523
1585	453
574	166
179	161
1131	552
506	33
461	116
2144	421
1518	2
745	303
1254	397
53	108
343	204
63	269
1156	315
1252	397
2017	322
405	191
1781	469
432	107
1844	340
319	470
49	415
2288	383
821	426
747	344
2195	374
1336	123
2310	121
1741	49
1903	304
1575	205
1638	10
2147	43
1639	29
1942	338
1695	222
752	333
368	298
1463	128
1179	370
248	19
2102	381
1784	208
2315	2
445	143
435	108
824	312
1459	310
835	513
1334	371
77	440
423	120
2239	415
1380	243
2215	61
460	82
1683	407
624	374
1014	143
1023	159
2180	346
1055	66
2311	4
602	286
1237	137
962	338
637	94
1810	485
1275	438
1371	400
98	149
2026	481
1233	395
1946	197
576	456
2153	47
1743	149
67	423
2146	174
21	453
1446	321
306	191
1775	51
1661	325
1771	269
2120	478
769	31
1191	261
1015	355
1790	18
859	229
186	284
1577	373
1563	420
2159	287
380	329
2191	495
571	95
1382	547
2304	202
647	305
1236	117
416	538
321	385
2020	162
2238	50
1847	104
1493	339
353	277
2252	277
1622	503
1590	181
291	412
1711	201
1984	154
1150	228
1658	182
2049	412
196	367
1411	291
1103	67
2027	401
2063	39
1744	3
1306	239
1414	400
353	527
1200	510
1073	51
1924	259
220	551
2038	428
1218	467
2051	443
2309	171
343	487
1259	132
628	213
2053	34
583	497
1493	297
639	329
2108	162
14	340
1949	382
527	443
834	122
204	30
1881	457
1024	73
2122	15
1247	428
2047	317
1502	489
1987	435
1930	332
24	427
604	70
1089	114
1299	453
514	435
1771	499
1926	47
777	341
2035	393
413	1
1755	447
1501	554
361	492
2164	173
1080	284
2290	422
1308	264
42	45
563	98
701	436
931	542
1189	507
2008	254
1589	105
2207	550
1342	464
403	272
1186	305
943	323
2312	116
1853	472
667	454
1357	450
1296	483
748	172
1804	214
229	242
1391	150
917	457
748	171
1057	465
1708	403
1354	88
2102	488
2107	192
582	193
1494	151
972	413
779	269
106	293
700	483
840	376
958	112
217	480
1301	476
2308	251
353	243
2205	347
1104	16
1279	181
386	135
1795	90
306	400
516	126
1855	507
1826	29
388	49
763	520
894	489
2261	492
8	147
928	127
1755	525
113	197
550	172
745	119
950	447
851	391
38	402
189	176
1974	292
998	365
1635	195
1012	284
449	30
1920	1
2294	495
2021	310
855	279
848	104
565	20
2272	190
896	114
1017	200
1564	404
1860	304
334	9
1474	290
2297	448
1587	40
1864	228
2217	84
688	272
1313	407
1852	225
1420	424
1897	302
1174	154
1002	11
997	5
1254	396
2281	65
2086	205
1173	542
2167	195
1537	331
2195	455
2166	237
853	480
966	273
609	312
409	29
1210	485
2181	465
360	165
379	4
622	174
1382	496
1968	240
976	543
2060	497
2295	264
2153	209
1761	137
949	32
1419	15
1563	347
1521	366
553	11
933	378
795	322
380	540
2265	298
2174	263
210	443
2294	378
323	488
725	390
1691	231
1173	221
756	222
1492	197
1009	516
471	32
1331	97
546	120
619	456
712	410
194	39
2172	541
25	66
2276	431
1000	245
863	468
207	43
1464	385
2001	547
885	304
75	240
1634	153
90	156
1562	458
879	458
1237	496
1181	147
2018	138
1991	258
330	57
1836	451
2047	90
